final rider position;lap1;lap2;lap3;lap4;lap5;lap20;avg_time_1_5
1;115,14;116,467;112,054;114,248;118,182;100,696;115,2182
2;115,466;116,673;112,48;114,442;117,054;100,725;115,223
3;127,361;114,483;112,333;113,813;115,421;106,491;116,6822
4;113,773;118,197;112,567;114,19;117,585;101,892;115,2624
5;115,318;116,514;111,666;115,383;117,561;101,837;115,2884
6;112,098;120,062;112,66;113,293;117,811;102,561;115,1848
7;116,411;116,076;112,506;113,281;118,038;102,082;115,2624
8;115,661;116,324;111,822;116,074;116,806;102,434;115,3374
9;118,685;113,44;111,19;117,05;116,512;103,167;115,3754
10;117,869;113,863;112,303;115,241;117,258;105,986;115,3068
11;128,531;114,127;110,514;113,894;115,202;106,437;116,4536
12;118,912;112,933;111,77;116,107;116,634;107,966;115,2712
13;131,129;113,659;114,457;113,504;114,859;107,379;117,5216
14;116,203;116,097;112,82;115,428;116,112;107,523;115,332
15;120,393;113,736;115,38;114,988;115,309;108,16;115,9612
16;125,157;113,654;114,675;116,385;114,213;106,764;116,8168
17;120,039;112,422;113,135;112,114;119,765;106,524;115,495
18;121,788;112,881;113,649;113,873;115,718;106,787;115,5818
19;125,028;112,282;113,72;114,497;115,212;107,997;116,1478
20;127,813;115,697;112,705;113,536;114,134;106,721;116,777
21;119,985;113,403;114,096;116,068;116,099;109,199;115,9302
22;117,774;114,916;113,79;115,411;115,12;111,415;115,4022
23;121,377;112,98;114,138;114,441;115,768;110,941;115,7408
24;121,062;112,854;115,843;115,213;116,354;110,658;116,2652
25;124,377;112,171;113,456;114,268;115,98;111,439;116,0504
26;123,075;111,944;114,193;114,682;114,343;111,884;115,6474
27;130,115;114,103;114,807;113,09;115,319;110,734;117,4868
28;116,063;116,217;113,79;115,639;115,441;113,461;115,43
29;119,516;113,561;113,91;114,51;117,044;113,643;115,7082
30;126,444;112,579;113,054;114,59;115,246;117,092;116,3826
31;122,532;113,096;114,441;115,129;116,291;122,786;116,2978
32;122,21;113,993;114,676;115,011;115,809;123,432;116,3398
33;123,93;112,723;115,129;114,686;116,509;123,564;116,5954
34;128,832;114,335;111,922;115,616;114,394;123,431;117,0198
35;118,789;114,577;114,742;115,172;116,472;124,51;115,9504
